Month,WEEK,DT,RESTAURANT_ID,REST_NAME,CITY,AREA,TOTAL_ORDERS,GMV,MENU_SESSIONS
01/06/2025,25,2025-06-18,76512,Brand D,Mumbai,Marol Sakinaka,3,787.9,28
01/06/2025,25,2025-06-18,83864,Brand D,Mumbai,Borivali,2,777.3999939,29
01/06/2025,25,2025-06-18,184604,Brand G,Mumbai,Malad Kan East,18,6469.126664,166
01/06/2025,25,2025-06-18,656170,Brand D,Mumbai,Chembur,3,1540.550012,25
01/06/2025,25,2025-06-18,783761,Brand D,Mumbai,CBD Belapur,3,1585.750024,22
01/06/2025,25,2025-06-18,880733,Brand C,Mumbai,Vashi,9,6641.951498,63
01/06/2025,25,2025-06-18,974354,Brand B,Mumbai,Mulund,26,6843.604224,194
01/06/2025,25,2025-06-18,974356,Brand B,Mumbai,Powai,34,10225.04237,189
01/06/2025,25,2025-06-18,1037606,Brand A,Mumbai,Andheri East,57,21745.03251,254
01/06/2025,25,2025-06-18,1074224,Brand D,Mumbai,Matunga Wadala,1,1096.850339,7
01/06/2025,25,2025-06-19,70556,Brand D,Mumbai,Bandra West,3,1155.399988,11
01/06/2025,25,2025-06-19,76509,Brand D,Mumbai,Malad Kan West,1,748.6503271,11
01/06/2025,25,2025-06-19,76512,Brand D,Mumbai,Marol Sakinaka,1,351.95,23
01/06/2025,25,2025-06-19,83864,Brand D,Mumbai,Borivali,4,2646.450414,24
01/06/2025,25,2025-06-19,184604,Brand G,Mumbai,Malad Kan East,24,10239.15516,176
01/06/2025,25,2025-06-19,656170,Brand D,Mumbai,Chembur,2,1083.600012,23
01/06/2025,25,2025-06-19,668983,Brand D,Mumbai,Andheri West,2,904.8700027,9
01/06/2025,25,2025-06-19,688993,Brand E,Mumbai,Marol Sakinaka,4,8606.500205,74
01/06/2025,25,2025-06-19,880733,Brand C,Mumbai,Vashi,16,9636.9024,54
01/06/2025,25,2025-06-19,974354,Brand B,Mumbai,Mulund,37,11639.14884,251
01/06/2025,25,2025-06-19,974356,Brand B,Mumbai,Powai,45,13459.83058,183
01/06/2025,25,2025-06-19,1037606,Brand A,Mumbai,Andheri East,58,22426.56416,268
01/06/2025,25,2025-06-19,1074224,Brand D,Mumbai,Matunga Wadala,1,326.95,8
01/06/2025,25,2025-06-20,70556,Brand D,Mumbai,Bandra West,2,1085.850012,20
01/06/2025,25,2025-06-20,76508,Brand D,Mumbai,Lower Parel Worli,1,1037.350024,13
01/06/2025,25,2025-06-20,76509,Brand D,Mumbai,Malad Kan West,1,393.95,13
01/06/2025,25,2025-06-20,76512,Brand D,Mumbai,Marol Sakinaka,2,1462.300024,30
01/06/2025,25,2025-06-20,83864,Brand D,Mumbai,Borivali,4,1940.600333,27
01/06/2025,25,2025-06-20,184604,Brand G,Mumbai,Malad Kan East,32,13415.37911,162
01/06/2025,25,2025-06-20,656170,Brand D,Mumbai,Chembur,6,4721.769977,31
01/06/2025,25,2025-06-20,668983,Brand D,Mumbai,Andheri West,1,532.1700012,9
01/06/2025,25,2025-06-20,688993,Brand E,Mumbai,Marol Sakinaka,6,7034.650419,88
01/06/2025,25,2025-06-20,783761,Brand D,Mumbai,CBD Belapur,1,337.45,17
01/06/2025,25,2025-06-20,880733,Brand C,Mumbai,Vashi,6,2966.425321,66
01/06/2025,25,2025-06-20,974354,Brand B,Mumbai,Mulund,32,10226.2588,215
01/06/2025,25,2025-06-20,974356,Brand B,Mumbai,Powai,42,15137.92733,199
01/06/2025,25,2025-06-20,1037606,Brand A,Mumbai,Andheri East,61,21405.56096,246
01/06/2025,25,2025-06-20,1074224,Brand D,Mumbai,Matunga Wadala,1,689.4000122,7
01/06/2025,25,2025-06-21,70556,Brand D,Mumbai,Bandra West,1,347.7,14
01/06/2025,25,2025-06-21,76508,Brand D,Mumbai,Lower Parel Worli,3,1828.250654,12
01/06/2025,25,2025-06-21,76509,Brand D,Mumbai,Malad Kan West,1,1131.600024,10
01/06/2025,25,2025-06-21,76512,Brand D,Mumbai,Marol Sakinaka,7,2918.450012,31
01/06/2025,25,2025-06-21,83864,Brand D,Mumbai,Borivali,3,1267.56999,23
01/06/2025,25,2025-06-21,184604,Brand G,Mumbai,Malad Kan East,44,19019.55411,245
01/06/2025,25,2025-06-21,656170,Brand D,Mumbai,Chembur,2,1666.500352,21
01/06/2025,25,2025-06-21,688993,Brand E,Mumbai,Marol Sakinaka,4,4251.100303,101
01/06/2025,25,2025-06-21,783761,Brand D,Mumbai,CBD Belapur,2,1016.600012,24
01/06/2025,25,2025-06-21,880733,Brand C,Mumbai,Vashi,11,7772.102742,66
01/06/2025,25,2025-06-21,974354,Brand B,Mumbai,Mulund,21,7302.8617,194
01/06/2025,25,2025-06-21,974356,Brand B,Mumbai,Powai,44,17142.39373,210
01/06/2025,25,2025-06-21,1037606,Brand A,Mumbai,Andheri East,63,25186.38124,333
01/06/2025,25,2025-06-21,1053297,Brand D,Mumbai,Powai,1,693.1500122,5
01/06/2025,25,2025-06-22,70556,Brand D,Mumbai,Bandra West,2,762.5000061,10
01/06/2025,25,2025-06-22,76509,Brand D,Mumbai,Malad Kan West,2,1083.350007,10
01/06/2025,25,2025-06-22,76512,Brand D,Mumbai,Marol Sakinaka,2,1799.750037,19
01/06/2025,25,2025-06-22,83864,Brand D,Mumbai,Borivali,3,1725.300734,32
01/06/2025,25,2025-06-22,184604,Brand G,Mumbai,Malad Kan East,41,19355.4232,241
01/06/2025,25,2025-06-22,656170,Brand D,Mumbai,Chembur,5,3063.800038,23
01/06/2025,25,2025-06-22,668983,Brand D,Mumbai,Andheri West,2,1013.850012,13
01/06/2025,25,2025-06-22,688993,Brand E,Mumbai,Marol Sakinaka,9,8676.501678,123
01/06/2025,25,2025-06-22,783761,Brand D,Mumbai,CBD Belapur,2,2402.340427,20
01/06/2025,25,2025-06-22,828997,Brand D,Mumbai,Thane,1,737.6503271,2
01/06/2025,25,2025-06-22,880733,Brand C,Mumbai,Vashi,3,2628.851777,56
01/06/2025,25,2025-06-22,974354,Brand B,Mumbai,Mulund,35,12940.75985,212
01/06/2025,25,2025-06-22,974356,Brand B,Mumbai,Powai,35,11765.3931,200
01/06/2025,25,2025-06-22,1037606,Brand A,Mumbai,Andheri East,67,28550.50934,319
01/06/2025,26,2025-06-23,70556,Brand D,Mumbai,Bandra West,3,1189.550012,13
01/06/2025,26,2025-06-23,76512,Brand D,Mumbai,Marol Sakinaka,1,383.45,20
01/06/2025,26,2025-06-23,184604,Brand G,Mumbai,Malad Kan East,34,13222.31815,173
01/06/2025,26,2025-06-23,656170,Brand D,Mumbai,Chembur,2,1063.850012,18
01/06/2025,26,2025-06-23,668983,Brand D,Mumbai,Andheri West,2,756.3999878,6
01/06/2025,26,2025-06-23,688993,Brand E,Mumbai,Marol Sakinaka,1,1991.500698,47
01/06/2025,26,2025-06-23,783761,Brand D,Mumbai,CBD Belapur,1,372.95,17
01/06/2025,26,2025-06-23,828997,Brand D,Mumbai,Thane,1,858.6200134,2
01/06/2025,26,2025-06-23,880733,Brand C,Mumbai,Vashi,3,1773.100334,40
01/06/2025,26,2025-06-23,974354,Brand B,Mumbai,Mulund,20,7339.217032,147
01/06/2025,26,2025-06-23,974356,Brand B,Mumbai,Powai,15,5487.139943,142
01/06/2025,26,2025-06-23,1037606,Brand A,Mumbai,Andheri East,56,20119.44791,259
01/06/2025,26,2025-06-23,1074224,Brand D,Mumbai,Matunga Wadala,2,630.399989,10
